Instance,HMOEA-mean,HMOEA-std,Prufer-mean,Prufer-std,NetKeys-mean,NetKeys-std,Prim-mean,Prim-std,Kruskal-mean,Kruskal-std,GPrim-mean,GPrim-std
NIn7,10.3,$\pm$1.1,10,$\pm$1.5,9.6,$\pm$1.4,11,$\pm$2.2,14,$\pm$1.1,\textbf{38},$\pm$0
NIn8,9.5,$\pm$1.3,9.8,$\pm$1.9,10.8,$\pm$1.3,10,$\pm$1.2,12.9,$\pm$2.9,\textbf{27.7},$\pm$0.9
NIn9,8.5,$\pm$1,10.9,$\pm$2.3,11.8,$\pm$2,10.9,$\pm$1.2,15.2,$\pm$2.6,\textbf{71.8},$\pm$3.6
NIn10,8.8,$\pm$0.87,10.9,$\pm$2,11.1,$\pm$2.9,10.3,$\pm$1.5,17.7,$\pm$2.9,\textbf{69.6},$\pm$3.3
NIn11,10.4,$\pm$0.92,9.7,$\pm$1.9,17.5,$\pm$3.2,9.8,$\pm$3.4,16.3,$\pm$2.5,\textbf{98.6},$\pm$1.1
NIn12,6.8,$\pm$0.87,11.7,$\pm$1.2,11,$\pm$1.8,10.3,$\pm$2.2,19.2,$\pm$2.4,\textbf{94.6},$\pm$4
NIn13,\textbf{5},$\pm$1,3.1,$\pm$1.6,2.5,$\pm$0.67,2.4,$\pm$1,2.4,$\pm$1,4,$\pm$0
NIn14,5.1,$\pm$1.4,4.3,$\pm$1.5,4.3,$\pm$1.1,6.2,$\pm$1.8,3.2,$\pm$0.75,\textbf{9.1},$\pm$0.54
NIn15,3.8,$\pm$1.5,3.7,$\pm$1,1.9,$\pm$0.54,3,$\pm$1.4,2,$\pm$0.89,\textbf{6},$\pm$0
NIn16,7,$\pm$1.7,8,$\pm$1.2,5.7,$\pm$2,6.5,$\pm$1.9,6,$\pm$1.7,\textbf{24.3},$\pm$1.9
NIn17,6.2,$\pm$0.87,9.8,$\pm$2,10.1,$\pm$3.4,5,$\pm$1.9,6.8,$\pm$2.6,\textbf{23.2},$\pm$2.9
NIn18,6.5,$\pm$1.5,8,$\pm$2.2,10.4,$\pm$2.9,4,$\pm$1.8,6.2,$\pm$2.5,\textbf{22.3},$\pm$3.3
