Instance,HMOEA-mean,HMOEA-std,Prufer-mean,Prufer-std,NetKeys-mean,NetKeys-std,Prim-mean,Prim-std,Kruskal-mean,Kruskal-std,GPrim-mean,GPrim-std
NIn19,\textbf{0.842},$\pm$0.028,0.955,$\pm$0.015,0.976,$\pm$8.2e-3,0.969,$\pm$0.017,0.969,$\pm$0.012,0.983,$\pm$7.8e-3
NIn20,\textbf{0.928},$\pm$0.091,0.94,$\pm$0.051,0.987,$\pm$0.034,0.981,$\pm$0.021,0.988,$\pm$0.018,0.959,$\pm$0.015
NIn21,\textbf{0.851},$\pm$0.033,0.945,$\pm$0.019,0.985,$\pm$0.012,0.967,$\pm$0.013,0.97,$\pm$0.012,0.966,$\pm$0.012
NIn22,\textbf{0.891},$\pm$0.023,0.959,$\pm$0.012,0.988,$\pm$7.8e-3,0.975,$\pm$0.015,0.974,$\pm$0.019,0.961,$\pm$0.024
NIn23,\textbf{0.856},$\pm$0.024,0.957,$\pm$0.017,0.974,$\pm$0.013,0.973,$\pm$0.016,0.98,$\pm$0.014,0.984,$\pm$0.015
NIn24,\textbf{0.86},$\pm$0.013,0.948,$\pm$0.015,0.976,$\pm$9.8e-3,0.97,$\pm$4.4e-3,0.974,$\pm$0.016,0.979,$\pm$8.7e-3
NIn25,\textbf{0.839},$\pm$0.019,0.958,$\pm$0.022,0.979,$\pm$0.012,0.964,$\pm$0.013,0.986,$\pm$0.01,0.983,$\pm$0.012
NIn26,\textbf{0.888},$\pm$0.029,0.969,$\pm$6.5e-3,0.985,$\pm$0.014,0.974,$\pm$0.012,0.986,$\pm$7.5e-3,0.996,$\pm$7.4e-3
NIn27,\textbf{0.863},$\pm$0.029,0.956,$\pm$0.013,0.986,$\pm$8.3e-3,0.97,$\pm$0.018,0.979,$\pm$0.017,0.981,$\pm$0.015
NIn28,\textbf{0.867},$\pm$0.03,0.957,$\pm$0.017,0.982,$\pm$0.01,0.972,$\pm$0.013,0.986,$\pm$9.5e-3,0.998,$\pm$0.01
